year,boyfriend_girlfriend,spouse,ex_spouse,homosexual_relationship,state,state_abbrv,domestic_violence,handgun,rape,abuse,sexual_violence,dv_total,search_total,pop_category
2004,16185,12552,1896,363,Michigan,MI,6.0,5.5,33.0,36.5,2.5,30996,83.5,high_cri
2005,22716,15326,1962,566,Michigan,MI,6.0,5.0,27.0,37.5,0.0,40570,75.5,high_cri
2006,22371,14628,1910,501,Michigan,MI,5.0,4.0,22.0,29.5,0.0,39410,60.5,high_cri
2007,22960,13542,2080,640,Michigan,MI,4.0,4.5,21.5,27.0,0.0,39222,57.0,high_cri
2008,22577,12710,1893,636,Michigan,MI,5.0,5.0,23.5,29.0,0.0,37816,62.5,high_cri
2009,23603,12399,1947,714,Michigan,MI,5.5,6.0,23.0,27.5,0.5,38663,62.5,high_cri
2010,23848,12311,1997,794,Michigan,MI,5.0,5.0,26.0,28.0,0.0,38950,64.0,high_cri
2011,22169,11396,1862,792,Michigan,MI,4.5,5.5,24.0,24.5,0.0,36219,58.5,high_cri
2012,20695,10700,1712,875,Michigan,MI,4.0,6.0,27.0,22.0,0.0,33982,59.0,high_cri
2013,20055,9836,1495,883,Michigan,MI,4.0,6.0,32.0,21.0,0.0,32269,63.0,high_cri
2014,21036,9986,1428,899,Michigan,MI,4.0,5.5,29.0,21.5,0.0,33349,60.0,high_cri
2015,21228,9648,1405,976,Michigan,MI,5.0,5.5,28.0,20.5,0.0,33257,59.0,high_cri
2016,22103,10201,1528,1089,Michigan,MI,5.0,5.5,26.0,19.0,0.0,34921,55.5,high_cri
2017,20051,9335,1219,887,Michigan,MI,4.5,5.0,23.0,20.0,0.0,31492,52.5,high_cri
2018,21004,9605,1350,553,Michigan,MI,5.0,4.5,18.0,20.5,0.0,32512,48.0,high_cri
2019,21298,9510,1589,228,Michigan,MI,4.0,4.0,16.0,18.5,0.0,32625,42.5,high_cri
2020,23350,9235,1570,25,Michigan,MI,4.0,6.0,15.5,16.0,0.0,34180,41.5,high_cri
2021,26918,10361,1979,0,Michigan,MI,4.0,4.0,14.0,16.0,0.0,39258,38.0,high_cri
