year,boyfriend_girlfriend,spouse,ex_spouse,homosexual_relationship,state,state_abbrv,domestic_violence,handgun,rape,abuse,sexual_violence,dv_total,search_total,pop_category
2004,867,373,66,14,North Dakota,ND,0.0,0.0,0.0,14.5,0.0,1320,14.5,low_pop
2005,1195,458,78,21,North Dakota,ND,0.0,0.0,10.5,12.0,0.0,1752,22.5,low_pop
2006,1487,469,89,21,North Dakota,ND,0.0,0.0,11.5,14.0,0.0,2066,25.5,low_pop
2007,1542,456,69,19,North Dakota,ND,1.5,4.5,8.0,13.5,0.0,2086,27.5,low_pop
2008,1680,449,64,31,North Dakota,ND,0.0,3.0,9.0,13.0,0.0,2224,25.0,low_pop
2009,1961,553,84,30,North Dakota,ND,1.0,0.0,9.0,14.5,0.0,2628,24.5,low_pop
2010,1882,596,73,36,North Dakota,ND,1.5,1.5,8.0,13.5,0.0,2587,24.5,low_pop
2011,1873,569,76,41,North Dakota,ND,1.0,2.0,9.0,12.0,0.0,2559,24.0,low_pop
2012,2101,632,63,46,North Dakota,ND,2.0,2.0,10.5,9.0,0.0,2842,23.5,low_pop
2013,2342,600,86,62,North Dakota,ND,2.0,3.0,13.0,8.5,0.0,3090,26.5,low_pop
2014,2356,669,86,44,North Dakota,ND,2.0,3.0,13.0,10.0,0.0,3155,28.0,low_pop
2015,2518,720,104,60,North Dakota,ND,2.0,2.0,12.0,10.0,0.0,3402,26.0,low_pop
2016,2625,679,106,74,North Dakota,ND,2.5,2.0,10.5,8.0,0.0,3484,23.0,low_pop
2017,2723,641,93,66,North Dakota,ND,1.0,2.0,8.5,8.5,0.0,3523,20.0,low_pop
2018,2830,681,130,86,North Dakota,ND,2.0,1.5,8.0,8.5,0.0,3727,20.0,low_pop
2019,2903,770,119,87,North Dakota,ND,2.0,1.0,6.5,8.0,0.0,3879,17.5,low_pop
2020,2899,761,116,77,North Dakota,ND,2.0,2.0,5.5,7.0,0.0,3853,16.5,low_pop
2021,2554,761,163,0,North Dakota,ND,2.0,1.5,5.5,7.0,0.0,3478,16.0,low_pop
