year,boyfriend_girlfriend,spouse,ex_spouse,homosexual_relationship,state,state_abbrv,domestic_violence,handgun,rape,abuse,sexual_violence,dv_total,search_total,pop_category
2004,4151,4474,882,127,Texas,TX,4.0,8.0,27.5,35.0,0.0,9634,74.5,high_pop
2005,5539,6074,1232,161,Texas,TX,4.0,9.5,26.5,29.5,0.0,13006,69.5,high_pop
2006,7947,7791,1612,296,Texas,TX,3.0,8.5,21.5,25.0,0.0,17646,58.0,high_pop
2007,8275,6903,1482,271,Texas,TX,3.0,8.5,21.0,24.0,0.0,16931,56.5,high_pop
2008,8167,6218,1417,256,Texas,TX,4.0,9.5,24.0,23.5,0.0,16058,61.0,high_pop
2009,8240,5840,1391,322,Texas,TX,4.0,9.5,23.5,24.5,0.0,15793,61.5,high_pop
2010,8812,5472,1454,322,Texas,TX,3.5,8.0,26.0,23.5,0.0,16060,61.0,high_pop
2011,9205,5188,1372,346,Texas,TX,3.0,10.0,24.0,20.5,0.0,16111,57.5,high_pop
2012,9160,4964,1201,353,Texas,TX,3.0,9.5,28.5,20.0,0.0,15678,61.0,high_pop
2013,8470,4478,1082,101,Texas,TX,3.0,8.0,32.0,19.5,0.0,14131,62.5,high_pop
2014,8973,4411,1106,265,Texas,TX,3.5,7.0,31.5,20.5,0.0,14755,62.5,high_pop
2015,9424,4782,1227,316,Texas,TX,4.0,8.0,28.5,18.5,0.0,15749,59.0,high_pop
2016,10310,4793,1312,453,Texas,TX,4.0,7.0,27.5,18.0,0.0,16868,56.5,high_pop
2017,13964,6670,1682,583,Texas,TX,4.0,6.0,22.5,18.0,0.0,22899,50.5,high_pop
2018,30210,13820,3962,640,Texas,TX,4.0,5.0,18.5,19.0,0.0,48632,46.5,high_pop
2019,46038,20528,5869,765,Texas,TX,4.0,5.0,17.0,17.5,0.0,73200,43.5,high_pop
2020,66137,28853,8417,58,Texas,TX,3.5,6.0,16.0,17.0,0.0,103465,42.5,high_pop
2021,83608,37660,11081,0,Texas,TX,3.0,5.0,14.5,16.0,0.0,132349,38.5,high_pop
