year,boyfriend_girlfriend,spouse,ex_spouse,homosexual_relationship,state,state_abbrv,domestic_violence,handgun,rape,abuse,sexual_violence,dv_total,search_total,pop_category
2004,656,300,42,12,Vermont,VT,0.0,0.0,25.5,26.5,0.0,1010,52.0,low_pop
2005,649,294,56,13,Vermont,VT,0.0,0.0,16.5,48.5,0.0,1012,65.0,low_pop
2006,703,262,59,20,Vermont,VT,0.0,0.0,30.0,33.0,0.0,1044,63.0,low_pop
2007,781,237,40,12,Vermont,VT,0.0,0.0,28.0,34.5,0.0,1070,62.5,low_pop
2008,795,246,52,15,Vermont,VT,0.0,4.0,19.5,32.5,0.0,1108,56.0,low_pop
2009,747,258,56,20,Vermont,VT,0.0,6.0,22.5,26.0,0.0,1081,54.5,low_pop
2010,721,224,37,10,Vermont,VT,4.0,4.0,20.5,17.0,0.0,992,45.5,low_pop
2011,817,252,51,15,Vermont,VT,4.5,3.5,26.5,28.5,0.0,1135,63.0,low_pop
2012,746,240,71,11,Vermont,VT,7.0,4.0,27.5,29.0,0.0,1068,67.5,low_pop
2013,602,233,55,11,Vermont,VT,5.5,6.5,28.5,26.0,0.0,901,66.5,low_pop
2014,492,206,52,19,Vermont,VT,4.0,3.5,32.5,27.0,0.0,769,67.0,low_pop
2015,668,192,38,17,Vermont,VT,3.5,4.5,29.5,25.0,0.0,915,62.5,low_pop
2016,768,237,51,15,Vermont,VT,5.5,4.5,29.5,24.5,0.0,1071,64.0,low_pop
2017,773,256,69,6,Vermont,VT,4.0,4.0,23.5,24.0,0.0,1104,55.5,low_pop
2018,816,238,95,4,Vermont,VT,5.5,4.0,20.0,24.5,0.0,1153,54.0,low_pop
2019,809,289,91,6,Vermont,VT,5.0,5.0,17.5,25.5,0.0,1195,53.0,low_pop
2020,720,226,71,2,Vermont,VT,3.0,6.0,18.0,21.0,0.0,1019,48.0,low_pop
2021,724,218,78,0,Vermont,VT,4.0,3.5,14.5,18.0,0.0,1020,40.0,low_pop
